time,pitch,roll,heading,aileronInput,elevatorInput,Baro_altitude,Baro_vertical_speed,Baro_temperature,GPS_locked,GPS_coord_x,GPS_coord_y,GPS_altitude,GPS_heading,GPS_speed,GPS_satellites,aileronTrim,elevatorTrim
25.251,4.81,137.5,194.31,-1.0,0.0,16.3,-0.01,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
25.451,4.81,137.5,194.31,-1.0,0.0,16.31,0.01,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
25.651,4.81,137.5,194.31,-1.0,0.0,16.35,0.04,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
25.851,4.81,137.5,194.31,-1.0,0.0,16.31,-0.0,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
26.051,4.81,137.5,194.31,-1.0,0.0,16.27,-0.04,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
26.251,4.81,137.5,194.31,-1.0,0.0,16.29,-0.02,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
26.451,4.81,137.5,194.31,-1.0,0.0,16.27,-0.04,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
26.651,4.81,137.5,194.31,-1.0,0.0,16.3,-0.0,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
26.851,4.81,137.5,194.31,-1.0,0.0,16.31,0.01,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
27.051,4.81,137.5,194.31,-1.0,0.0,16.3,-0.01,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
27.251,4.81,137.5,194.31,-1.0,0.0,16.23,-0.06,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
27.451,4.81,137.5,194.31,-1.0,0.0,16.22,-0.06,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
27.651,4.81,137.5,194.31,-1.0,0.0,16.24,-0.04,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
27.851,4.81,137.5,194.31,-1.0,0.0,16.22,-0.05,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
28.051,4.81,137.5,194.31,-1.0,0.0,16.23,-0.03,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
28.252,4.81,137.5,194.31,-1.0,0.0,16.25,-0.0,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
28.452,4.81,137.5,194.31,-1.0,0.0,16.29,0.04,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
28.652,4.81,137.5,194.31,-1.0,0.0,16.29,0.03,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
28.852,3.85,130.29,194.31,-1.0,0.0,16.33,0.06,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
29.052,4.71,136.73,194.31,-1.0,0.0,16.32,0.04,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
29.252,4.8,137.42,194.31,-1.0,0.0,16.34,0.05,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
29.452,4.81,137.49,194.31,-1.0,0.0,16.33,0.04,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
29.652,4.81,137.5,194.31,-1.0,0.0,16.32,0.02,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
29.852,4.81,137.5,194.31,-1.0,0.0,16.32,0.01,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
30.052,4.81,137.5,194.31,-1.0,0.0,16.41,0.1,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
30.252,4.81,137.5,194.31,-1.0,0.0,16.39,0.06,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
30.452,4.81,137.5,194.31,-1.0,0.0,16.41,0.07,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
30.652,4.81,137.5,194.31,-1.0,0.0,16.41,0.05,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
